hazards 危害
resource contention 资源竞争
alleviate 缓和
eliminate 消除
brute 残忍的
mutual exclusion lock 互斥锁
mutex 互斥
acquire 获得
variants 变种
variation 变化，变动，变异，变量
recursion 递归
proper sequence 正确 顺序
sequence 序列
represents 代表、表现
dependencies 依赖
alternative 替代的，备选的
scalar 纯量，标量，数量的
spawns 产生
independent 独立的
dependent 依赖的，依靠的
dependence 依赖，依靠
holistic 全面的，整体的
scheduled 调度
separately 分别地
chapter 章节
relatively 相对地
interaction 互动，相互作用
interplay 相互作用
approximate 近似的
comparisons 对比
vary 变化
via 通过
microseconds 微秒
detached 分离的
reclaimed 回收
explicitly 明确地
primarily 主要地
refer to 参考，指的是，涉及，适用于
corresponding 对应的
various 各个的，各种各样的
syntax 语法，句法
alternative 替代
convenient 方便的
encompasses 包括
occasional 临时的，偶然的
critical 危急的，临界的
frequent 频繁的
appropriately 适当地
appropriate 适当的
preceding 前面的
establish 建立，创建
ongoing 不间断的，前进的
mechanism 机制
represented 代表
aware 知道的，警觉
prevent 避免
degrade 降级
mixture 混合物
wrappers 包装
portion 局部，一部分
aggregate 使聚集，使聚积
throughout 始终，处处，在所有方面
bonus 奖金，额外津贴
stale 陈腐的，不新鲜的，陈旧的
poorly 穷困地，差劲地，不好地
retrieve 回收，检索，取回
retrieval 检索，收回，挽回
discretion 判断力，辨别力
Priority 优先级
determining 决定
guarantee 保证
increases 增加
bottlenecks 瓶颈
entry routine 入口程序
typically 一般地，通常地
related 有关的
potentially 可能地，潜在地
anticipate 预料，预见，预测，预感
outset 开始，起点
periodically 定期地
presence 存在
regarde 关于
interfere 干扰
unintended 意外的
corrupted 损坏的
subtle 微秒的
manifest 表现
significant 重大的，重要的
overhaul 翻修
assumptions 假设，假定
interference 干扰
interact 互动
numerous 众多的
Volatile 易变的
achieve 实现，取得，获得，成功
optimal 最佳的
opt 选择，挑选
option 选项，选择，选择权
optional 可选的，随意的，非强制的
assembly-level instructions  汇编指令
instruction 指令
optimization 优化
incorrect 不正确的
detect 检测
fence 篱笆
processor 处理器
lack 缺点
constraint 约束
individual 个别的，独特的
decrease 减少
sparingly 节制，保守地，很少地
correctness 正确性
segment 段，片段
mutually exclusive 互斥的
exclusive 高级的，排外的，独立的
issue 问题，发行，发布
preclude 排除，妨碍，阻止
grant 授予，允许
acquire 获得
compete 竞争
recursive 递归的
variant 变种
separately 分别地
referred 涉及，简称
significantly 显著地
occasionally 偶尔地
simultaneously 同时地
Distributed lock 分布式锁
poll 轮询
involves 涉及
invoke 调用
attempt 企图
overhead 开销
criteria 标准、规则、规范
prior 先于
certain 某些，已确定的，必然的
indicate 表明，表示，指示
availability 可用性
whereupon 于是
convenient 方便的
convention 惯例，习俗，规定
deliver 交付，发表，传送，投递
manner 方式
guarantee 保证
distributed 分布的，分散式的
computation 计算
designated 特定的
designate 指派，指明
coordinator 协调
sequentially 顺序地
introduce 引进，介绍，提出
uncontested 无竞争的
contention 竞争，争夺
acquisition 获得
factor 因素
retrofitting 改造
confusion 混乱
illegal 非法的
simultaneously 同时地
assumptions 假设，臆断
panacea 万能药
primitives 原语，原始的
impact 影响，碰撞，冲击
partitioning 划分，分割
consistently 始终如一地，一致地，连贯地
restrict 限制，限定，约束，束缚
restriction 限制，约束
strictly 严格地，完全地
defeat 挫败，击败，作废
lull 麻痹，使安静
illustrate 说明
flaws 破绽，漏洞
innocuous 无害的
premise 前提
presence 存在
penalty 处罚
preceding 前面的，上面的
aspects 方面
affected 受影响的
awareness 意识
vigilance 警觉
permanently 永久地
proper 正确，适当
combination 组合
omit 忽略
integrity 完整性
expense 费用，花费，开销
